transaction_id,date,amount,type,balance,description,counterparty,category
TXN001,2024-06-01,5000,CREDIT,25000,Salary Credit,EMPLOYER_ABC,SALARY
TXN002,2024-06-02,-1200,DEBIT,23800,Grocery Shopping,MERCHANT_GROCERY,DAILY_EXPENSES
TXN003,2024-06-03,-800,DEBIT,23000,Utility Bill Payment,ELECTRICITY_BOARD,UTILITIES
TXN004,2024-06-04,-500,DEBIT,22500,Mobile Recharge,TELECOM_XYZ,TELECOM
TXN005,2024-06-05,2000,CREDIT,24500,Freelance Payment,CLIENT_DEF,INCOME
TXN006,2024-06-06,-1500,DEBIT,23000,Rent Payment,LANDLORD_GHI,RENT
TXN007,2024-06-07,-300,DEBIT,22700,Food Delivery,RESTAURANT_JKL,FOOD
TXN008,2024-06-08,-2000,DEBIT,20700,EMI Payment,BANK_MNO,EMI
TXN009,2024-06-09,1000,CREDIT,21700,Refund,ECOMMERCE_PQR,REFUND
TXN010,2024-06-10,-400,DEBIT,21300,Medicine Purchase,PHARMACY_STU,HEALTHCARE
TXN011,2024-06-11,15000,CREDIT,36300,Business Income,CLIENT_VWX,BUSINESS
TXN012,2024-06-12,-3000,DEBIT,33300,Investment SIP,MUTUAL_FUND_YZ,INVESTMENT
TXN013,2024-06-13,-800,DEBIT,32500,Clothing Purchase,FASHION_ABC,SHOPPING
TXN014,2024-06-14,-600,DEBIT,31900,Fuel Payment,PETROL_PUMP_DEF,TRANSPORT
TXN015,2024-06-15,5000,CREDIT,36900,Bonus Credit,EMPLOYER_ABC,BONUS
TXN016,2024-06-16,-1000,DEBIT,35900,Internet Bill,ISP_GHI,UTILITIES
TXN017,2024-06-17,-200,DEBIT,35700,Coffee Shop,CAFE_JKL,ENTERTAINMENT
TXN018,2024-06-18,-1500,DEBIT,34200,Insurance Premium,INSURANCE_MNO,INSURANCE
TXN019,2024-06-19,3000,CREDIT,37200,Consulting Fee,CONSULTANT_PQR,INCOME
TXN020,2024-06-20,-2500,DEBIT,34700,Credit Card Payment,BANK_STU,CREDIT_CARD
